,influencer_username,platform,text
0,aaroncgshore,influencers,"Cracking work this morning with   nathancummiskey  rico.samba down  jobesgym cheers to  nikgittusbox for always helping me 

Cheers lads"
1,aaroncgshore,influencers,35  another year older and wiser but the main thing is another year happy and healthy  thank you for all the birthday messages it really means a lot 
2,aaroncgshore,influencers,"Good rounds this morning 

Cheers lads  rico.samba  mattstarkmccallum  and  jobesgym and  nikgittusbox for sorting 

 wassermanboxing 
 sauerlandbros"
3,aaroncgshore,influencers,Boxing Debut CONFIRMED  aaroncgshore will fight on June 17th in Liverpool in his pro debut Tickets available now   wassermanboxing
4,aaroncgshore,influencers,Get me and chunk back in the sun and in that splash pool 
5,aaroncgshore,influencers,Missing the sun already with my family  but hard work starts again and a big few months ahead before the next baby arrives 
6,aaroncgshore,influencers,So nice to get away for a holiday 
7,aaroncgshore,influencers,"Looking back on that first Fight Night - with  aaroncgshore and  steven.sulley 

Filmed  woodbury.house 

Check out the full interview on YouTube 

 StevenSulley  AaronChalmers  GeordieShore  MMA  Boxer  Fighter  TV  MentalHealth  Mindset  Bellator  FightNight  Mindset  WoodburyHouseArt"
8,aaroncgshore,influencers,The last few weeks have been very tough and stressful but the hard work continues looking to make this boxing debut and have a big year still with back to back fights    Bad times never last  let’s get it
9,aaroncgshore,influencers,My beautiful family 
10,aaroncgshore,influencers,Birthday Boys  last week Romeo turned 2 and today my little Maddox turns 1  it is crazy how quick they grow up   Can’t wait to add another baby in the mix haha Gna need more arms to carry them all 
11,aaroncgshore,influencers,When you think the baby’s are being quiet it’s normally because their up to no good   talia.oatway
12,aaroncgshore,influencers,"ANOTHER BABY CHALMERS ON THE WAY 

Can’t believe it we are having another baby   memoriesbymel have made us the most gorgeous blanket to announce the news to the kids  3 babies in 3 years  we must be mad  

Check them out if you want to create amazing photos blankets  memoriesbymel   AD

Roll on September 3 baby’s under 3 "
13,aaroncgshore,influencers,Aaron look after the baby please…… no problem Darls 
14,aaroncgshore,influencers,The boys 
15,aaroncgshore,influencers,A massive HAPPY BIRTHDAY and happy Mother’s Day to my beautiful woman and the best mother to our kids   Literally doesn’t stop from the minute she wakes up until she goes to sleep looking after this whole family   Have an amazing day we all love you   talia.oatway
16,aaroncgshore,influencers,"Looking back on a darker part of life… but hitting rock bottom doesn’t mean that you have to stay there. - with  aaroncgshore and  steven.sulley 

Filmed  woodbury.house 

 StevenSulley  AaronChalmers  GeordieShore  MMA  Boxer  Fighter  TV  MentalHealth  Mindset  Bellator  Recovery  WoodburyHouseArt"
17,aaroncgshore,influencers,"My not so little family 
 talia.oatway"
18,aaroncgshore,influencers,"Had an amazing chat with  aaroncgshore on the the  steven.sulley study  

Aaron is best known for his appearance in Geordie Shore  but he also became an MMA fighter and fought in Bellator. He now has transitioned into a professional boxer and making his debut on 2nd April 2022.

We spoke about the business side of fighting  the pros and cons of social media and his philosophy around money and success along with his work ethic when it comes to professional sport.

Filmed  woodbury.house 
 williamwoodwatches 
 lfb boxing 
 thelondonwatchshowofficial 
 boxingbooth 
 boxingboothgym 
 boxxer 
 skysportsboxing 
 bellatormma 

 StevenSulley  AaronChalmers  GeordieShore  MMA  Boxer  Fighter  TV  Podcast  Mindset  Bellator  BellatorMMA  SkySportsBoxing  Boxxer  WoodburyHouseArt"
19,aaroncgshore,influencers,2 cracking spars this week with  b0yycceey thanks for the rounds brother 
20,aaroncgshore,influencers,"Episode 58 

 aaroncgshore joins us to discuss  

Transitioning from MMA to Boxing
Signing with  boxxer and upcoming debut in Newcastle
Memories on Geordie Shore
A potential dream fight with another TV star

  link in bio

 Also available Spotify   Apple 

Proudly sponsored by  wowhydrate"
21,aaroncgshore,influencers,"Good rounds in the bank tonight  dannychatto   joe best02 

Big thanks  jobesgym for having me down and  nikgittusbox for sorting it all "
22,aaroncgshore,influencers,Double trouble   talia.oatway
23,aaroncgshore,influencers,Not the best or most talented boxer their is and certainly not the youngest but I show up everyday and graft my arse off away from my missus and kids to fulfil a dream I have and that’s all that matters 
24,aaroncgshore,influencers,"Doubt is only removed by action.
If your not working hard then that’s when doubt comes in "
25,aaroncgshore,influencers," WelcomeToBOXXER   aaroncgshore 

Under the watchful eye of  boxingbooth  Chalmers is ready to take on the boxing scene   ChaseYourFuture 

 BOXXER    skysportsboxing"
26,aaroncgshore,influencers,Happy Valentine’s Day to my beautiful woman 
27,aaroncgshore,influencers,Another hard week in the bank 
28,aaroncgshore,influencers,"This is my favourite video of
Romeo  he absolutely loves the shower as you can probs hear from this video  his talking is coming on amazing   I love you my boy "
29,aaroncgshore,influencers,The woman that keeps everything in the family together while I chase my boxing career 
30,aaroncgshore,influencers,My biggest boy 
31,aaroncgshore,influencers,Track work with the boys   mickconlan11  kurtwalker7  fozzy3806  gbrown boxer  abassbaraou  boxingboothgym  boxingbooth
32,aaroncgshore,influencers,Ready for another week on the grind 
33,aaroncgshore,influencers,Teaching the little man how to jump 
34,aaroncgshore,influencers,Hill sprints with the boys  cracking start to 2022 hopefully some fight news in the next few weeks   kurtwalker7  mickconlan11  liamwilliamsko  boxingbooth  boxingboothgym
35,aaroncgshore,influencers,Friday morning work   sugarshy   liamwilliamsko  boxingboothgym
36,aaroncgshore,influencers,"Looking forward to a big 2022 with my darling and little family 

2021 wasn’t a great year for a lot of people especially me but it’s a new year and I’m determined to make this year a good 1  let’s go "
37,aaroncgshore,influencers,Happy to announce iv just signed with  off limits sport and looking forward to working together in my pro boxing career  big couple of years ahead
38,aaroncgshore,influencers,Lovely night on Friday with the family at  roadtothenorthpole the kids absolutely loved it  roll on Xmas 
39,aaroncgshore,influencers,"I’d rather try and fail then never try   

As you can see Today was a fail and resulted in a bruised bum but give me a few weeks I’m landing this 1 "
40,aaroncgshore,influencers,This is literally me with a shaved head and no beard  my little beauty Maddox 
41,aaroncgshore,influencers,A BIG BIG 2022 coming for the team 
42,aaroncgshore,influencers,Some news coming soon 
43,aaroncgshore,influencers,Happy Halloween   Romeo decided he’d rather ride in the wheelbarrow instead of picking pumpkins 
44,aaroncgshore,influencers,My little man coming on a treat   talia.oatway
45,aaroncgshore,influencers,The kids 
46,aaroncgshore,influencers,My 3 little beauty’s all matching and ready for bed 
47,aaroncgshore,influencers,My not so little man is growing so quick 
48,aaroncgshore,influencers,Yes I’m so happy my big boy is on his feet 
49,aaroncgshore,influencers,Romeo wasn’t feeling like getting his pic taken that day  swipe 
50,aaroncgshore,influencers,Matching with daddy 
51,aaroncgshore,influencers,Me and the boys 
