,competitor_1,competitor_2,similarity_score
0,bulk,formnutrition,0.38085747
1,bulk,indisupplements,0.4051709
2,bulk,medterra.international,0.37771264
3,bulk,motionnutrition,0.36351308
4,bulk,neat_nutrition,0.38157687
5,bulk,neurohacker,0.3933312
6,bulk,thenue_co,0.38715073
7,bulk,liveinnermost,0.381564
8,bulk,puresport,0.39227992
9,formnutrition,indisupplements,0.41928387
10,formnutrition,medterra.international,0.38720345
11,formnutrition,motionnutrition,0.36625946
12,formnutrition,neat_nutrition,0.38368046
13,formnutrition,neurohacker,0.41099384
14,formnutrition,thenue_co,0.39855647
15,formnutrition,liveinnermost,0.38664475
16,formnutrition,puresport,0.40261862
17,indisupplements,medterra.international,0.4203763
18,indisupplements,motionnutrition,0.3657185
19,indisupplements,neat_nutrition,0.40987632
20,indisupplements,neurohacker,0.4563069
21,indisupplements,thenue_co,0.4478835
22,indisupplements,liveinnermost,0.4052252
23,indisupplements,puresport,0.4520946
24,medterra.international,motionnutrition,0.36656037
25,medterra.international,neat_nutrition,0.3793302
26,medterra.international,neurohacker,0.4225652
27,medterra.international,thenue_co,0.4026952
28,medterra.international,liveinnermost,0.3891053
29,medterra.international,puresport,0.4171275
30,motionnutrition,neat_nutrition,0.36659575
31,motionnutrition,neurohacker,0.36995998
32,motionnutrition,thenue_co,0.3691422
33,motionnutrition,liveinnermost,0.37515694
34,motionnutrition,puresport,0.36423725
35,neat_nutrition,neurohacker,0.38994443
36,neat_nutrition,thenue_co,0.38950098
37,neat_nutrition,liveinnermost,0.38218436
38,neat_nutrition,puresport,0.39357635
39,neurohacker,thenue_co,0.4252962
40,neurohacker,liveinnermost,0.40909952
41,neurohacker,puresport,0.44394964
42,thenue_co,liveinnermost,0.39527777
43,thenue_co,puresport,0.4170612
44,liveinnermost,puresport,0.4003899
