,competitor_name,influencer_name,similarity_score
0,bulk,aaroncgshore,0.32539356
1,bulk,adamcollard,0.47380814
2,bulk,aliceliveing,0.4681129
3,bulk,brown.elle,0.22809556
4,bulk,charlottedawsy,0.4667351
5,bulk,chessieking,0.44980028
6,bulk,chloe.khan,0.3000237
7,bulk,courtneydblack,0.46914703
8,bulk,danosborneofficial,0.40538093
9,bulk,gabbydawnallen,0.45292887
10,bulk,ini.helen,0.22002934
11,bulk,itsalwayshana,0.41031796
12,bulk,jamesgshore,0.3650703
13,bulk,jamessmithpt,0.33164653
14,bulk,jesshunt2,0.27885893
15,bulk,jessica_rose_uk,0.3157875
16,bulk,jesswright77,0.34945253
17,bulk,katiepiper_,0.41391551
18,bulk,korisampson,0.32937753
19,bulk,lucymeck1,0.42466816
20,bulk,mac_griffiths_,0.35877553
21,bulk,mattdoesfitness,0.34154332
22,bulk,ohpolly,0.44624043
23,bulk,oliviadbowen,0.39806923
24,bulk,rogersnipes,0.43603134
25,bulk,slimmingworld,0.541391
26,bulk,sylvijaa,0.28485703
27,bulk,thebodycoach,0.45938155
28,bulk,thefitnesschef_,0.49822393
29,bulk,_jackfowler_,0.35116935
30,formnutrition,aaroncgshore,0.29518047
31,formnutrition,adamcollard,0.4857793
32,formnutrition,aliceliveing,0.48658204
33,formnutrition,brown.elle,0.18278557
34,formnutrition,charlottedawsy,0.48484513
35,formnutrition,chessieking,0.48244077
36,formnutrition,chloe.khan,0.26817
37,formnutrition,courtneydblack,0.49299434
38,formnutrition,danosborneofficial,0.39671567
39,formnutrition,gabbydawnallen,0.4632332
40,formnutrition,ini.helen,0.16907531
41,formnutrition,itsalwayshana,0.42918476
42,formnutrition,jamesgshore,0.34203368
43,formnutrition,jamessmithpt,0.31778997
44,formnutrition,jesshunt2,0.23070864
45,formnutrition,jessica_rose_uk,0.2929776
46,formnutrition,jesswright77,0.33288115
47,formnutrition,katiepiper_,0.41498232
48,formnutrition,korisampson,0.30091184
49,formnutrition,lucymeck1,0.4356749
50,formnutrition,mac_griffiths_,0.3400807
51,formnutrition,mattdoesfitness,0.3189781
52,formnutrition,ohpolly,0.43374878
53,formnutrition,oliviadbowen,0.39573297
54,formnutrition,rogersnipes,0.4613913
55,formnutrition,slimmingworld,0.59632075
56,formnutrition,sylvijaa,0.25556728
57,formnutrition,thebodycoach,0.4689621
58,formnutrition,thefitnesschef_,0.57600474
59,formnutrition,_jackfowler_,0.3324965
60,indisupplements,aaroncgshore,0.32121944
61,indisupplements,adamcollard,0.45450404
62,indisupplements,aliceliveing,0.463152
63,indisupplements,brown.elle,0.25234556
64,indisupplements,charlottedawsy,0.4681031
65,indisupplements,chessieking,0.45892665
66,indisupplements,chloe.khan,0.31494308
67,indisupplements,courtneydblack,0.45874742
68,indisupplements,danosborneofficial,0.39384943
69,indisupplements,gabbydawnallen,0.44654414
70,indisupplements,ini.helen,0.24466743
71,indisupplements,itsalwayshana,0.4184334
72,indisupplements,jamesgshore,0.36765125
73,indisupplements,jamessmithpt,0.35131207
74,indisupplements,jesshunt2,0.29614082
75,indisupplements,jessica_rose_uk,0.33087814
76,indisupplements,jesswright77,0.35859567
77,indisupplements,katiepiper_,0.4205119
78,indisupplements,korisampson,0.34043574
79,indisupplements,lucymeck1,0.43104
80,indisupplements,mac_griffiths_,0.36724356
81,indisupplements,mattdoesfitness,0.34279847
82,indisupplements,ohpolly,0.4322944
83,indisupplements,oliviadbowen,0.40558285
84,indisupplements,rogersnipes,0.45302948
85,indisupplements,slimmingworld,0.5522501
86,indisupplements,sylvijaa,0.30380186
87,indisupplements,thebodycoach,0.44118452
88,indisupplements,thefitnesschef_,0.533696
89,indisupplements,_jackfowler_,0.3574721
90,medterra.international,aaroncgshore,0.35117263
91,medterra.international,adamcollard,0.45130825
92,medterra.international,aliceliveing,0.4649686
93,medterra.international,brown.elle,0.28642625
94,medterra.international,charlottedawsy,0.48343784
95,medterra.international,chessieking,0.46421987
96,medterra.international,chloe.khan,0.3481281
97,medterra.international,courtneydblack,0.44738057
98,medterra.international,danosborneofficial,0.420986
99,medterra.international,gabbydawnallen,0.45660326
100,medterra.international,ini.helen,0.26963925
101,medterra.international,itsalwayshana,0.43721962
102,medterra.international,jamesgshore,0.39248687
103,medterra.international,jamessmithpt,0.34658995
104,medterra.international,jesshunt2,0.32505593
105,medterra.international,jessica_rose_uk,0.34802848
106,medterra.international,jesswright77,0.39345193
107,medterra.international,katiepiper_,0.44671607
108,medterra.international,korisampson,0.3630308
109,medterra.international,lucymeck1,0.4467209
110,medterra.international,mac_griffiths_,0.37453258
111,medterra.international,mattdoesfitness,0.35680085
112,medterra.international,ohpolly,0.47766525
113,medterra.international,oliviadbowen,0.42453554
114,medterra.international,rogersnipes,0.4489515
115,medterra.international,slimmingworld,0.51799524
116,medterra.international,sylvijaa,0.32238606
117,medterra.international,thebodycoach,0.44516134
118,medterra.international,thefitnesschef_,0.46299618
119,medterra.international,_jackfowler_,0.38810536
120,motionnutrition,aaroncgshore,0.3412237
121,motionnutrition,adamcollard,0.44388047
122,motionnutrition,aliceliveing,0.4547305
123,motionnutrition,brown.elle,0.25545874
124,motionnutrition,charlottedawsy,0.4789258
125,motionnutrition,chessieking,0.47928965
126,motionnutrition,chloe.khan,0.31601802
127,motionnutrition,courtneydblack,0.4368497
128,motionnutrition,danosborneofficial,0.41095155
129,motionnutrition,gabbydawnallen,0.44455504
130,motionnutrition,ini.helen,0.25357357
131,motionnutrition,itsalwayshana,0.42765737
132,motionnutrition,jamesgshore,0.37369922
133,motionnutrition,jamessmithpt,0.34741738
134,motionnutrition,jesshunt2,0.29218832
135,motionnutrition,jessica_rose_uk,0.33267355
