competitor_1,competitor_2,similarity_score
bulk,formnutrition,4.749493645000039
bulk,indisupplements,3.178440626334021
bulk,medterra.international,2.835001838588574
bulk,motionnutrition,4.350020527048924
bulk,neat_nutrition,3.542707919167659
bulk,neurohacker,2.3717033522671014
bulk,thenue_co,3.453051708206905
bulk,liveinnermost,3.722152112344902
bulk,puresport,3.350069896774192
formnutrition,indisupplements,3.1099541189486737
formnutrition,medterra.international,3.745959067001289
formnutrition,motionnutrition,6.017335221176124
formnutrition,neat_nutrition,4.935065800092646
formnutrition,neurohacker,3.457560636759504
formnutrition,thenue_co,5.602143552378546
formnutrition,liveinnermost,5.783047863394148
formnutrition,puresport,3.988427161268715
indisupplements,medterra.international,2.343079761116066
indisupplements,motionnutrition,2.462936900752677
indisupplements,neat_nutrition,2.24613575985535
indisupplements,neurohacker,2.3275061545932316
indisupplements,thenue_co,3.083250974966014
indisupplements,liveinnermost,2.524666677984766
indisupplements,puresport,3.1683433945593342
medterra.international,motionnutrition,3.720421558630935
medterra.international,neat_nutrition,2.98536961380538
medterra.international,neurohacker,2.708164149197682
medterra.international,thenue_co,3.5821751973268032
medterra.international,liveinnermost,3.2398264237000145
medterra.international,puresport,4.156043627284107
motionnutrition,neat_nutrition,4.807966596584514
motionnutrition,neurohacker,2.8661455665770816
motionnutrition,thenue_co,4.358207370314247
motionnutrition,liveinnermost,5.34052388994476
motionnutrition,puresport,3.305430580902519
neat_nutrition,neurohacker,2.7524933864955488
neat_nutrition,thenue_co,3.901621425072923
neat_nutrition,liveinnermost,6.795679555579683
neat_nutrition,puresport,3.048175804469106
neurohacker,thenue_co,3.2642468847864303
neurohacker,liveinnermost,3.3896604624061766
neurohacker,puresport,3.0134117550717963
thenue_co,liveinnermost,5.089702563444688
thenue_co,puresport,3.9646883821335126
liveinnermost,puresport,3.590074455243508
