competitor_name,influencer_name,similarity_score
bulk,aaroncgshore,2.5654520504816514
bulk,adamcollard,2.5503076717993296
bulk,aliceliveing,2.720690598445911
bulk,brown.elle,2.508731724529754
bulk,charlottedawsy,2.2730840230211284
bulk,chessieking,2.4454777087592197
bulk,chloe.khan,3.207774407391132
bulk,courtneydblack,3.1567233968388377
bulk,danosborneofficial,2.681795602376797
bulk,gabbydawnallen,3.2978310923673093
bulk,ini.helen,2.484341907382359
bulk,itsalwayshana,2.034645012649674
bulk,jamesgshore,3.608963798395977
bulk,jamessmithpt,3.3828025941239077
bulk,jesshunt2,2.65383207646693
bulk,jessica_rose_uk,2.830245458778006
bulk,jesswright77,2.8109415188767604
bulk,katiepiper_,2.6210849266616334
bulk,korisampson,3.206513628414317
bulk,lucymeck1,3.007861746212642
bulk,mac_griffiths_,3.57680334643673
bulk,mattdoesfitness,3.7057411619436538
bulk,ohpolly,2.043958152296492
bulk,oliviadbowen,2.94018528732955
bulk,rogersnipes,3.2262700596124545
bulk,slimmingworld,1.9347158157226156
bulk,sylvijaa,2.5200155247434877
bulk,thebodycoach,3.1857715607755974
bulk,thefitnesschef_,1.6611434053846597
bulk,_jackfowler_,3.4604545528135353
formnutrition,aaroncgshore,2.2477952877193883
formnutrition,adamcollard,2.1878464867437213
formnutrition,aliceliveing,2.38948348210214
formnutrition,brown.elle,2.2957794122524846
formnutrition,charlottedawsy,2.0976658958379253
formnutrition,chessieking,2.341699950256325
formnutrition,chloe.khan,2.7550089693934394
formnutrition,courtneydblack,2.591718080320708
formnutrition,danosborneofficial,2.339578943768351
formnutrition,gabbydawnallen,2.7599282283323725
formnutrition,ini.helen,2.2022777680135994
formnutrition,itsalwayshana,2.00241829844569
formnutrition,jamesgshore,2.820510165249656
formnutrition,jamessmithpt,2.8432692603751484
formnutrition,jesshunt2,2.3189917872414876
formnutrition,jessica_rose_uk,2.4241982382792338
formnutrition,jesswright77,2.4931811653943035
formnutrition,katiepiper_,2.5552820472974402
formnutrition,korisampson,2.71588958559071
formnutrition,lucymeck1,2.7135350275606607
formnutrition,mac_griffiths_,2.8476394934903113
formnutrition,mattdoesfitness,2.867112310588672
formnutrition,ohpolly,1.8436419213306035
formnutrition,oliviadbowen,2.6236636026241813
formnutrition,rogersnipes,3.0354319829057914
formnutrition,slimmingworld,1.8684805900943313
formnutrition,sylvijaa,2.3175480084804922
formnutrition,thebodycoach,2.738486688962436
formnutrition,thefitnesschef_,1.628642458860981
formnutrition,_jackfowler_,2.890440613811317
indisupplements,aaroncgshore,1.9219452820584852
indisupplements,adamcollard,2.269047320762006
indisupplements,aliceliveing,2.4949786348735628
indisupplements,brown.elle,1.954335938235046
indisupplements,charlottedawsy,1.9721457778553582
indisupplements,chessieking,2.2741736700809922
indisupplements,chloe.khan,2.146024540455925
indisupplements,courtneydblack,2.750549208837168
indisupplements,danosborneofficial,2.0747445470908503
indisupplements,gabbydawnallen,2.651427957808039
indisupplements,ini.helen,1.8826882705272494
indisupplements,itsalwayshana,1.8439419096621519
indisupplements,jamesgshore,2.409376517747475
indisupplements,jamessmithpt,2.6096783611215306
indisupplements,jesshunt2,1.9765314528102016
indisupplements,jessica_rose_uk,2.065468857599124
indisupplements,jesswright77,2.131223527182335
indisupplements,katiepiper_,2.3200450270356834
indisupplements,korisampson,2.299995423927205
indisupplements,lucymeck1,2.3894624512443734
indisupplements,mac_griffiths_,2.5500763656713312
indisupplements,mattdoesfitness,2.3947807756513972
indisupplements,ohpolly,1.7469516885754401
indisupplements,oliviadbowen,2.2783215642060544
indisupplements,rogersnipes,3.1403455975191568
indisupplements,slimmingworld,2.112749488297207
indisupplements,sylvijaa,1.884191415126313
indisupplements,thebodycoach,2.6682779248052606
indisupplements,thefitnesschef_,1.9327283940158508
indisupplements,_jackfowler_,2.29804811165935
medterra.international,aaroncgshore,1.936961833557479
medterra.international,adamcollard,1.8286027768702666
medterra.international,aliceliveing,1.9537636244192196
medterra.international,brown.elle,2.0301025480854697
medterra.international,charlottedawsy,1.8224007645904459
medterra.international,chessieking,1.9798771699124513
medterra.international,chloe.khan,2.273923066112825
medterra.international,courtneydblack,1.996655619323631
medterra.international,danosborneofficial,2.0296206824548966
medterra.international,gabbydawnallen,2.1598834339385933
medterra.international,ini.helen,1.9436215681209705
medterra.international,itsalwayshana,1.767793823021529
medterra.international,jamesgshore,2.2617790740970243
medterra.international,jamessmithpt,2.1428981024055496
medterra.international,jesshunt2,2.008463447701996
medterra.international,jessica_rose_uk,2.066972125056161
medterra.international,jesswright77,2.155649995670952
medterra.international,katiepiper_,2.190732719163317
medterra.international,korisampson,2.2499698404058113
medterra.international,lucymeck1,2.189965965854042
medterra.international,mac_griffiths_,2.2290778661243102
medterra.international,mattdoesfitness,2.2300807858308414
medterra.international,ohpolly,1.686706437428722
medterra.international,oliviadbowen,2.193916631708226
medterra.international,rogersnipes,2.2991698572625436
medterra.international,slimmingworld,1.5605894039759831
medterra.international,sylvijaa,1.984925243719888
medterra.international,thebodycoach,2.1177919130575553
medterra.international,thefitnesschef_,1.3647420732316244
medterra.international,_jackfowler_,2.4038169141221175
motionnutrition,aaroncgshore,2.4080666067953835
motionnutrition,adamcollard,1.9572963749144223
motionnutrition,aliceliveing,2.1065159976097467
motionnutrition,brown.elle,2.5020038331064596
motionnutrition,charlottedawsy,2.053901345649498
motionnutrition,chessieking,2.2139796648387646
motionnutrition,chloe.khan,3.12564958220668
motionnutrition,courtneydblack,2.2686162935097176
motionnutrition,danosborneofficial,2.372007793261505
motionnutrition,gabbydawnallen,2.528577141460612
motionnutrition,ini.helen,2.4041618889900147
motionnutrition,itsalwayshana,1.9092428314109546
motionnutrition,jamesgshore,2.877034128010228
motionnutrition,jamessmithpt,2.7344898134692097
motionnutrition,jesshunt2,2.5475431559747213
motionnutrition,jessica_rose_uk,2.598082568639397
motionnutrition,jesswright77,2.6196880428270615
motionnutrition,katiepiper_,2.3616479535206945
motionnutrition,korisampson,2.8558060155880254
motionnutrition,lucymeck1,2.5881344687691645
motionnutrition,mac_griffiths_,2.862575574826003
motionnutrition,mattdoesfitness,2.9167424367602814
motionnutrition,ohpolly,1.8016638966882184
motionnutrition,oliviadbowen,2.6613131716371896
motionnutrition,rogersnipes,2.6131886207475743
