competitor_1,competitor_2,similarity_score
bulk,formnutrition,13.719912350204472
bulk,indisupplements,7.811510604970598
bulk,medterra.international,11.951767851055585
bulk,motionnutrition,10.743343160593328
bulk,neat_nutrition,10.440754112799938
bulk,neurohacker,14.381060022331543
bulk,thenue_co,10.325720245375456
bulk,liveinnermost,13.799879306128961
bulk,puresport,9.269956194832298
formnutrition,indisupplements,11.74303290388109
formnutrition,medterra.international,14.36019094168643
formnutrition,motionnutrition,13.873685316409679
formnutrition,neat_nutrition,13.586595160811655
formnutrition,neurohacker,16.483514478962434
formnutrition,thenue_co,13.206926393574806
formnutrition,liveinnermost,16.336345461259203
formnutrition,puresport,12.155125166770233
indisupplements,medterra.international,9.902676976305694
indisupplements,motionnutrition,8.31747670115915
indisupplements,neat_nutrition,7.987501830940575
indisupplements,neurohacker,12.426626755485296
indisupplements,thenue_co,8.372081224872657
indisupplements,liveinnermost,12.47764900399335
indisupplements,puresport,6.365626738186902
medterra.international,motionnutrition,12.3570926141857
medterra.international,neat_nutrition,11.507473618688362
medterra.international,neurohacker,15.513674762626588
medterra.international,thenue_co,12.333508454843631
medterra.international,liveinnermost,15.439048529393157
medterra.international,puresport,10.710095088491478
motionnutrition,neat_nutrition,10.409686883135008
motionnutrition,neurohacker,14.153313096026007
motionnutrition,thenue_co,11.19287519014943
motionnutrition,liveinnermost,14.658047856156543
motionnutrition,puresport,9.544961681281249
neat_nutrition,neurohacker,14.594328554258546
neat_nutrition,thenue_co,11.04939278919182
neat_nutrition,liveinnermost,14.34487776170793
neat_nutrition,puresport,9.433441838887049
neurohacker,thenue_co,13.746237993192324
neurohacker,liveinnermost,17.46276390983783
neurohacker,puresport,13.469605299504353
thenue_co,liveinnermost,14.689472869862314
thenue_co,puresport,9.825861574550366
liveinnermost,puresport,13.041946942140797
