competitor_name,influencer_name,similarity_score
bulk,aaroncgshore,7.800026762434847
bulk,adamcollard,7.807074967285039
bulk,aliceliveing,7.834991945449617
bulk,brown.elle,8.13541640358049
bulk,charlottedawsy,7.968242160046708
bulk,chessieking,7.688577226028058
bulk,chloe.khan,7.691845574346154
bulk,courtneydblack,7.885498362917957
bulk,danosborneofficial,7.638260972903519
bulk,gabbydawnallen,7.698801930837381
bulk,ini.helen,7.727423054933813
bulk,itsalwayshana,7.7726206261765505
bulk,jamesgshore,7.704756912479446
bulk,jamessmithpt,7.782601610853184
bulk,jesshunt2,7.527746790310577
bulk,jessica_rose_uk,7.735714611837064
bulk,jesswright77,7.838860086093021
bulk,katiepiper_,7.833350573471514
bulk,korisampson,7.789914300380084
bulk,lucymeck1,8.021704326456305
bulk,mac_griffiths_,8.009352674926873
bulk,mattdoesfitness,7.813257540411033
bulk,ohpolly,7.7600511164244
bulk,oliviadbowen,7.762578268973135
bulk,rogersnipes,7.664897634760005
bulk,slimmingworld,8.056968890491246
bulk,sylvijaa,7.925254148805254
bulk,thebodycoach,7.96611022302063
bulk,thefitnesschef_,7.790208183949491
bulk,_jackfowler_,7.6619540854868315
formnutrition,aaroncgshore,11.592556924804164
formnutrition,adamcollard,11.638753357783564
formnutrition,aliceliveing,11.455957490365288
formnutrition,brown.elle,11.688035273730776
formnutrition,charlottedawsy,11.612062817569626
formnutrition,chessieking,11.5850061293305
formnutrition,chloe.khan,11.786670226424983
formnutrition,courtneydblack,11.379199258573907
formnutrition,danosborneofficial,11.646416499768312
formnutrition,gabbydawnallen,11.761606582324454
formnutrition,ini.helen,11.633010547915696
formnutrition,itsalwayshana,11.534785096046834
formnutrition,jamesgshore,11.719782201497562
formnutrition,jamessmithpt,11.684359631663467
formnutrition,jesshunt2,11.602422533361485
formnutrition,jessica_rose_uk,11.808945283302762
formnutrition,jesswright77,11.70925397559701
formnutrition,katiepiper_,11.464141717466113
formnutrition,korisampson,11.721144967020106
formnutrition,lucymeck1,11.517660427596454
formnutrition,mac_griffiths_,11.404793492706
formnutrition,mattdoesfitness,11.58222710607357
formnutrition,ohpolly,11.72893600315687
formnutrition,oliviadbowen,11.66088243764844
formnutrition,rogersnipes,11.62452762676558
formnutrition,slimmingworld,11.70529977762401
formnutrition,sylvijaa,11.645334494239288
formnutrition,thebodycoach,11.59359075617382
formnutrition,thefitnesschef_,11.624143405252907
formnutrition,_jackfowler_,11.800147033111825
indisupplements,aaroncgshore,4.051322834918125
indisupplements,adamcollard,4.100405883308845
indisupplements,aliceliveing,3.8235311492306163
indisupplements,brown.elle,4.373913133751564
indisupplements,charlottedawsy,3.9487065324699455
indisupplements,chessieking,3.8273042577154093
indisupplements,chloe.khan,4.036285243399792
indisupplements,courtneydblack,4.124995403537654
indisupplements,danosborneofficial,3.8254347678000005
indisupplements,gabbydawnallen,3.8627999022800865
indisupplements,ini.helen,4.115860699551185
indisupplements,itsalwayshana,3.9878327302948278
indisupplements,jamesgshore,4.097776519049284
indisupplements,jamessmithpt,4.006163319739635
indisupplements,jesshunt2,4.009471075055513
indisupplements,jessica_rose_uk,4.054062321746427
indisupplements,jesswright77,4.009737740675951
indisupplements,katiepiper_,3.9736713293614154
indisupplements,korisampson,4.209105334628685
indisupplements,lucymeck1,4.038213933074429
indisupplements,mac_griffiths_,4.122925570272977
indisupplements,mattdoesfitness,4.325982315958699
indisupplements,ohpolly,4.23183353210319
indisupplements,oliviadbowen,4.34005643708995
indisupplements,rogersnipes,3.8549049003679348
indisupplements,slimmingworld,4.3093383960902285
indisupplements,sylvijaa,4.454537073454679
indisupplements,thebodycoach,4.469736044414015
indisupplements,thefitnesschef_,4.0065650953160485
indisupplements,_jackfowler_,4.177433862286588
medterra.international,aaroncgshore,9.962110899151302
medterra.international,adamcollard,9.945465898328125
medterra.international,aliceliveing,9.887285880631373
medterra.international,brown.elle,10.089189476064087
medterra.international,charlottedawsy,9.987310240963351
medterra.international,chessieking,9.84761420552206
medterra.international,chloe.khan,9.929208439261634
medterra.international,courtneydblack,9.939682909109232
medterra.international,danosborneofficial,9.843581721836808
medterra.international,gabbydawnallen,9.798673893245429
medterra.international,ini.helen,10.055484919749354
medterra.international,itsalwayshana,10.025211131967401
medterra.international,jamesgshore,9.973836894385261
medterra.international,jamessmithpt,9.960529747715377
medterra.international,jesshunt2,10.053520660728385
medterra.international,jessica_rose_uk,9.704669961478833
medterra.international,jesswright77,9.903958203158986
medterra.international,katiepiper_,9.835234949833428
medterra.international,korisampson,10.053808806637905
medterra.international,lucymeck1,9.941388526082251
medterra.international,mac_griffiths_,9.911748528442104
medterra.international,mattdoesfitness,9.808692343533545
medterra.international,ohpolly,9.739056895911661
medterra.international,oliviadbowen,10.008240876913455
medterra.international,rogersnipes,9.932449844478594
medterra.international,slimmingworld,9.746730415267464
medterra.international,sylvijaa,9.967753053620863
medterra.international,thebodycoach,9.875883757553511
medterra.international,thefitnesschef_,9.938063250186179
medterra.international,_jackfowler_,9.970210901165911
motionnutrition,aaroncgshore,8.358525448646931
motionnutrition,adamcollard,8.290221803043627
motionnutrition,aliceliveing,8.532285789870924
motionnutrition,brown.elle,8.774998234647246
motionnutrition,charlottedawsy,8.325766053945108
motionnutrition,chessieking,8.443285982319741
motionnutrition,chloe.khan,8.574248609284913
motionnutrition,courtneydblack,8.665376901612525
motionnutrition,danosborneofficial,8.305687909506407
motionnutrition,gabbydawnallen,8.457700767774098
motionnutrition,ini.helen,8.622202313458088
motionnutrition,itsalwayshana,8.606069619229585
motionnutrition,jamesgshore,8.372195717663045
motionnutrition,jamessmithpt,8.370056718357276
motionnutrition,jesshunt2,8.452713351779359
motionnutrition,jessica_rose_uk,8.501154370871316
motionnutrition,jesswright77,8.39098764186125
motionnutrition,katiepiper_,8.416776835186203
motionnutrition,korisampson,8.54968013283795
motionnutrition,lucymeck1,8.63358890132085
motionnutrition,mac_griffiths_,8.493719458324431
motionnutrition,mattdoesfitness,8.524698763362936
motionnutrition,ohpolly,8.724529382180597
motionnutrition,oliviadbowen,8.57565906771396
motionnutrition,rogersnipes,8.427598948884484
motionnutrition,slimmingworld,8.610615531986962
motionnutrition,sylvijaa,8.782770912213628
motionnutrition,thebodycoach,8.539463101253299
motionnutrition,thefitnesschef_,8.341710906677587
motionnutrition,_jackfowler_,8.374604325880394
neat_nutrition,aaroncgshore,7.636625376171047
neat_nutrition,adamcollard,7.629955884699138
neat_nutrition,aliceliveing,7.682494446754347
neat_nutrition,brown.elle,8.233946047430242
neat_nutrition,charlottedawsy,7.79843329230893
neat_nutrition,chessieking,7.813853197810333
neat_nutrition,chloe.khan,7.875528885827938
neat_nutrition,courtneydblack,7.8151851028902355
neat_nutrition,danosborneofficial,7.7343898901273365
neat_nutrition,gabbydawnallen,7.889557624990737
neat_nutrition,ini.helen,8.041059479733333
neat_nutrition,itsalwayshana,8.039011249830814
neat_nutrition,jamesgshore,7.872164733088269
neat_nutrition,jamessmithpt,7.916439094701366
neat_nutrition,jesshunt2,7.650596949750105
neat_nutrition,jessica_rose_uk,7.880710056819483
neat_nutrition,jesswright77,7.725264009357942
neat_nutrition,katiepiper_,7.945043687998834
neat_nutrition,korisampson,7.8764270513039945
neat_nutrition,lucymeck1,7.923166271157155
neat_nutrition,mac_griffiths_,7.7264366136893425
neat_nutrition,mattdoesfitness,7.990657181506612
neat_nutrition,ohpolly,8.040346756974428
neat_nutrition,oliviadbowen,8.275411344685493
neat_nutrition,rogersnipes,7.72375433394807
neat_nutrition,slimmingworld,8.268562803580622
neat_nutrition,sylvijaa,8.189496860826088
neat_nutrition,thebodycoach,7.845818238266748
neat_nutrition,thefitnesschef_,7.917638336601274
neat_nutrition,_jackfowler_,7.7682059568754545
neurohacker,aaroncgshore,12.422839841875613
neurohacker,adamcollard,12.269102656382943
neurohacker,aliceliveing,12.524879477312279
neurohacker,brown.elle,12.479170667653692
neurohacker,charlottedawsy,12.424782152261534
neurohacker,chessieking,12.23578609901147
neurohacker,chloe.khan,12.399323564719161
neurohacker,courtneydblack,12.411057242412777
neurohacker,danosborneofficial,12.18916751720581
neurohacker,gabbydawnallen,12.196794092902431
neurohacker,ini.helen,12.17215933943681
neurohacker,itsalwayshana,12.232270295048256
neurohacker,jamesgshore,12.168101371594677
neurohacker,jamessmithpt,12.488693936888497
neurohacker,jesshunt2,12.388489514145597
neurohacker,jessica_rose_uk,12.54642652639393
neurohacker,jesswright77,12.374997478541834
neurohacker,katiepiper_,12.250076780068955
neurohacker,korisampson,12.161552911447188
neurohacker,lucymeck1,12.525153203583333
neurohacker,mac_griffiths_,12.466824172559827
neurohacker,mattdoesfitness,12.437832826094924
neurohacker,ohpolly,12.656358007014594
neurohacker,oliviadbowen,12.736083984175997
neurohacker,rogersnipes,12.404180903271444
neurohacker,slimmingworld,12.549337315093808
neurohacker,sylvijaa,12.612788861313417
neurohacker,thebodycoach,12.525227579862463
neurohacker,thefitnesschef_,12.197485125436529
neurohacker,_jackfowler_,12.53466336525194
thenue_co,aaroncgshore,8.221238553273487
thenue_co,adamcollard,8.212849128875558
thenue_co,aliceliveing,8.151266368162316
thenue_co,brown.elle,8.334516855362107
thenue_co,charlottedawsy,8.266170865998582
thenue_co,chessieking,8.130800408837
thenue_co,chloe.khan,8.35094167308302
thenue_co,courtneydblack,8.078338362336806
thenue_co,danosborneofficial,8.134327986976432
thenue_co,gabbydawnallen,8.2399690973395
thenue_co,ini.helen,8.383707155905013
thenue_co,itsalwayshana,8.300373661257002
thenue_co,jamesgshore,8.212413609916855
thenue_co,jamessmithpt,8.180374482081643
thenue_co,jesshunt2,8.334109249696036
thenue_co,jessica_rose_uk,8.514932069215977
thenue_co,jesswright77,8.37957679831991
thenue_co,katiepiper_,8.07949803188987
thenue_co,korisampson,8.205601433171564
thenue_co,lucymeck1,8.298646212006982
thenue_co,mac_griffiths_,8.30656686343651
thenue_co,mattdoesfitness,8.247748981031972
thenue_co,ohpolly,8.56156249109493
thenue_co,oliviadbowen,8.252408973638085
thenue_co,rogersnipes,8.077898529007227
thenue_co,slimmingworld,8.523338262421731
thenue_co,sylvijaa,8.465324390802765
thenue_co,thebodycoach,8.427687849726455
thenue_co,thefitnesschef_,7.939874858412357
thenue_co,_jackfowler_,8.408281988579994
liveinnermost,aaroncgshore,12.4821388142745
liveinnermost,adamcollard,12.44685367654904
liveinnermost,aliceliveing,12.543412556029633
liveinnermost,brown.elle,12.528031068065703
liveinnermost,charlottedawsy,12.38590819917446
liveinnermost,chessieking,12.443410198113856
liveinnermost,chloe.khan,12.524101212957047
liveinnermost,courtneydblack,12.241208314425208
liveinnermost,danosborneofficial,12.421039258845525
liveinnermost,gabbydawnallen,12.406587993520237
liveinnermost,ini.helen,12.623680297776128
liveinnermost,itsalwayshana,12.366027813223086
liveinnermost,jamesgshore,12.320625903735618
liveinnermost,jamessmithpt,12.375712837529685
liveinnermost,jesshunt2,12.438135070096338
liveinnermost,jessica_rose_uk,12.460819558932004
liveinnermost,jesswright77,12.293145067053517
liveinnermost,katiepiper_,12.347468631316154
liveinnermost,korisampson,12.327984975147341
liveinnermost,lucymeck1,12.451975762592047
liveinnermost,mac_griffiths_,12.632773102824993
liveinnermost,mattdoesfitness,12.416113845421206
liveinnermost,ohpolly,12.410057032043198
liveinnermost,oliviadbowen,12.741874232328687
liveinnermost,rogersnipes,12.326018606273662
liveinnermost,slimmingworld,12.624161967827707
liveinnermost,sylvijaa,12.74766241144508
liveinnermost,thebodycoach,12.728521908169892
liveinnermost,thefitnesschef_,12.516773261310618
liveinnermost,_jackfowler_,12.404686185367582
puresport,aaroncgshore,6.194280039096568
puresport,adamcollard,6.18353884830522
puresport,aliceliveing,6.307311729477587
puresport,brown.elle,6.2793546469791215
puresport,charlottedawsy,6.159702182469792
