,influencer_username,platform,text
0,aaroncgshore,influencers,crack work morning cheer always help cheer lad
1,aaroncgshore,influencers,another year old wiser main thing another year happy healthy thank birthday message really mean lot
2,aaroncgshore,influencers,good round morning cheer lad sort
3,aaroncgshore,influencers,boxing debut fight june liverpool pro ticket available
4,aaroncgshore,influencers,get chunk back sun splash pool
5,aaroncgshore,influencers,miss sun already hard work start big month ahead next baby arrives
6,aaroncgshore,influencers,nice get away holiday
7,aaroncgshore,influencers,look back first fight night film check full interview youtube stevensulley aaronchalmers geordieshore mma boxer fighter mentalhealth mindset bellator fightnight mindset woodburyhouseart
8,aaroncgshore,influencers,last week tough stressful hard work continue look make boxing debut big year still back back fight bad time never last get
9,aaroncgshore,influencers,beautiful family
10,aaroncgshore,influencers,birthday boy last week romeo turn today little maddox turn crazy quick grow wait add another baby mix haha gna need arm carry
11,aaroncgshore,influencers,think quiet normally good
12,aaroncgshore,influencers,another baby chalmers way believe another baby make gorgeous blanket announce news kid baby must mad check want create amaze photo blanket roll september
13,aaroncgshore,influencers,aaron look baby problem darls
14,aaroncgshore,influencers,boy
15,aaroncgshore,influencers,massive happy birthday happy day beautiful woman best mother kid literally stop minute wake go sleep look whole family amaze day love
16,aaroncgshore,influencers,look back darker part hit rock bottom mean stay film stevensulley aaronchalmers geordieshore mma boxer fighter mentalhealth mindset bellator recovery woodburyhouseart
17,aaroncgshore,influencers,little family
18,aaroncgshore,influencers,amaze chat study aaron best know appearance geordie also become mma fighter fought transition professional boxer make debut april spoke business side pro con social medium philosophy around money success along work ethic come professional film stevensulley aaronchalmers geordieshore mma boxer fighter podcast mindset bellator bellatormma skysportsboxing boxxer woodburyhouseart
19,aaroncgshore,influencers,crack spar week thanks round brother
20,aaroncgshore,influencers,join mma boxing upcoming debut newcastle geordie shore potential dream fight another star link bio also available spotify apple proudly sponsor
21,aaroncgshore,influencers,good round bank tonight big thanks sort
22,aaroncgshore,influencers,double trouble
23,aaroncgshore,influencers,best talented boxer certainly young show everyday graft arse away missus kid fulfil dream matter
24,aaroncgshore,influencers,doubt remove work hard doubt come
25,aaroncgshore,influencers,watchful eye chalmers ready take boxing scene chaseyourfuture boxxer
26,aaroncgshore,influencers,happy day beautiful woman
27,aaroncgshore,influencers,another hard week bank
28,aaroncgshore,influencers,favourite video romeo absolutely love shower probs hear video talk come amaze love boy
29,aaroncgshore,influencers,woman keep everything family together chase boxing career
30,aaroncgshore,influencers,big boy
31,aaroncgshore,influencers,track work boy
32,aaroncgshore,influencers,ready another week grind
33,aaroncgshore,influencers,teach little man jump
34,aaroncgshore,influencers,hill sprint crack start hopefully fight news next week
35,aaroncgshore,influencers,friday morning work
36,aaroncgshore,influencers,look forward big darling little family great year lot people especially new year determine make year good
37,aaroncgshore,influencers,happy announce sign look forward work together pro boxing career big couple year ahead
38,aaroncgshore,influencers,lovely night friday family kid absolutely love roll xmas
39,aaroncgshore,influencers,rather try fail never try see fail result bruise bum give week land
40,aaroncgshore,influencers,literally shave head beard little beauty maddox
41,aaroncgshore,influencers,big big come team
42,aaroncgshore,influencers,news come soon
43,aaroncgshore,influencers,happy halloween romeo decide rather ride wheelbarrow instead pick pumpkin
44,aaroncgshore,influencers,little man come treat
45,aaroncgshore,influencers,kid
46,aaroncgshore,influencers,little match ready bed
47,aaroncgshore,influencers,little man grow quick
48,aaroncgshore,influencers,yes happy big boy foot
49,aaroncgshore,influencers,romeo feel like get pic take day swipe
50,aaroncgshore,influencers,match daddy
51,aaroncgshore,influencers,boy
52,aaroncgshore,influencers,still buzzing drive back training whole last week team crowd belfast save best til last
53,aaroncgshore,influencers,dad best feel world
54,aaroncgshore,influencers,beautiful day watch many good memory tie knot
55,aaroncgshore,influencers,kevin perry roll go holiday
56,aaroncgshore,influencers,scrub bad pjs change shitty nappy
57,aaroncgshore,influencers,beautiful little family dress wedding amaze day suit always
58,aaroncgshore,influencers,eye prize
59,aaroncgshore,influencers,literally close always side side big lenny bother romeo house miserable twat
60,aaroncgshore,influencers,cheeky little smile
61,aaroncgshore,influencers,big big thanks kid car seat see romeo love base cheshire third store come leeds august
62,aaroncgshore,influencers,month sweat tear living away family start pay stayed consistent gym show much want work towards follow dream see take
63,aaroncgshore,influencers,maddox first smile goodnight
64,aaroncgshore,influencers,come england
65,aaroncgshore,influencers,romeo face every time see sister school
66,aaroncgshore,influencers,match princess
67,aaroncgshore,influencers,kid make life important
68,aaroncgshore,influencers,look boy best friend romeo look brother
69,aaroncgshore,influencers,good morning
70,aaroncgshore,influencers,get little princess away back holiday month counting
71,aaroncgshore,influencers,big boy enjoy cake say enjoy make mess mummy
72,aaroncgshore,influencers,time next year maybe girl next
73,aaroncgshore,influencers,look little dolly maddox
74,aaroncgshore,influencers,best mother could ask kid
75,aaroncgshore,influencers,get son
76,aaroncgshore,influencers,charlotte birthday karting last night
77,aaroncgshore,influencers,boy match ready bed
78,aaroncgshore,influencers,smile
79,aaroncgshore,influencers,boy
80,aaroncgshore,influencers,wait get mammy home
81,aaroncgshore,influencers,woman last day unbelievable still happy consider pain amaze new son love darling
82,aaroncgshore,influencers,daddy love son romeo double
83,aaroncgshore,influencers,welcome world baby maddox half week early healthy mam baby amaze
84,aaroncgshore,influencers,last night literally last date night think hot food broke water early morning baby chalmers incoming anytime tonight early morning film geordieogs
85,aaroncgshore,influencers,good round morning thank mate
86,aaroncgshore,influencers,happy birthday son lovely day nice food plenty cake tell
87,aaroncgshore,influencers,odd trainer source
88,aaroncgshore,influencers,grow fast day
89,aaroncgshore,influencers,take dad already wear pink
90,aaroncgshore,influencers,tell go brutal session lie laugh background haha
