competitor_1,competitor_2,similarity_score
bulk,formnutrition,0.09571436
bulk,indisupplements,0.10826271
bulk,medterra.international,0.08594484
bulk,motionnutrition,0.08755383
bulk,neat_nutrition,0.11315563
bulk,neurohacker,0.09602132
bulk,thenue_co,0.09773716
bulk,liveinnermost,0.10293566
bulk,puresport,0.10506216
formnutrition,indisupplements,0.1216798
formnutrition,medterra.international,0.12784594
formnutrition,motionnutrition,0.11198979
formnutrition,neat_nutrition,0.15380442
formnutrition,neurohacker,0.16190937
formnutrition,thenue_co,0.14106414
formnutrition,liveinnermost,0.14144558
formnutrition,puresport,0.13224193
indisupplements,medterra.international,0.11125488
indisupplements,motionnutrition,0.08331801
indisupplements,neat_nutrition,0.11285597
indisupplements,neurohacker,0.14618888
indisupplements,thenue_co,0.14529008
indisupplements,liveinnermost,0.11678053
indisupplements,puresport,0.15259959
medterra.international,motionnutrition,0.11768612
medterra.international,neat_nutrition,0.146678
medterra.international,neurohacker,0.16251624
medterra.international,thenue_co,0.14407927
medterra.international,liveinnermost,0.13569838
medterra.international,puresport,0.15448928
motionnutrition,neat_nutrition,0.14052732
motionnutrition,neurohacker,0.13346273
motionnutrition,thenue_co,0.11666483
motionnutrition,liveinnermost,0.1258248
motionnutrition,puresport,0.10700307
neat_nutrition,neurohacker,0.18085147
neat_nutrition,thenue_co,0.1604027
neat_nutrition,liveinnermost,0.19494691
neat_nutrition,puresport,0.14683163
neurohacker,thenue_co,0.18064076
neurohacker,liveinnermost,0.18775654
neurohacker,puresport,0.17501606
thenue_co,liveinnermost,0.1574012
thenue_co,puresport,0.15309742
liveinnermost,puresport,0.14664814
