competitor_name,influencer_name,similarity_score
bulk,aaroncgshore,0.05217292
bulk,adamcollard,0.11236481
bulk,aliceliveing,0.10505548
bulk,brown.elle,0.031805616
bulk,charlottedawsy,0.096757635
bulk,chessieking,0.0869531
bulk,chloe.khan,0.055820737
bulk,courtneydblack,0.101295695
bulk,danosborneofficial,0.0768722
bulk,gabbydawnallen,0.09665999
bulk,ini.helen,0.032788817
bulk,itsalwayshana,0.071971655
bulk,jamesgshore,0.066545784
bulk,jamessmithpt,0.0646293
bulk,jesshunt2,0.047472388
bulk,jessica_rose_uk,0.05029077
bulk,jesswright77,0.059195884
bulk,katiepiper_,0.08443268
bulk,korisampson,0.054818965
bulk,lucymeck1,0.07899925
bulk,mac_griffiths_,0.0635217
bulk,mattdoesfitness,0.07618664
bulk,ohpolly,0.10832979
bulk,oliviadbowen,0.07750621
bulk,rogersnipes,0.08544039
bulk,slimmingworld,0.13980508
bulk,sylvijaa,0.049338862
bulk,thebodycoach,0.09763354
bulk,thefitnesschef_,0.10473113
bulk,_jackfowler_,0.07094446
formnutrition,aaroncgshore,0.041035544
formnutrition,adamcollard,0.09863742
formnutrition,aliceliveing,0.100822285
formnutrition,brown.elle,0.029248523
formnutrition,charlottedawsy,0.093308344
formnutrition,chessieking,0.0922032
formnutrition,chloe.khan,0.050468452
formnutrition,courtneydblack,0.09268849
formnutrition,danosborneofficial,0.06731991
formnutrition,gabbydawnallen,0.091052115
formnutrition,ini.helen,0.024112226
formnutrition,itsalwayshana,0.08274795
formnutrition,jamesgshore,0.055272907
formnutrition,jamessmithpt,0.05908132
formnutrition,jesshunt2,0.038367577
formnutrition,jessica_rose_uk,0.040178426
formnutrition,jesswright77,0.05367893
formnutrition,katiepiper_,0.09324242
formnutrition,korisampson,0.049058165
formnutrition,lucymeck1,0.07913904
formnutrition,mac_griffiths_,0.05532282
formnutrition,mattdoesfitness,0.06563314
formnutrition,ohpolly,0.09236807
formnutrition,oliviadbowen,0.07493131
formnutrition,rogersnipes,0.09412818
formnutrition,slimmingworld,0.14716151
formnutrition,sylvijaa,0.047485333
formnutrition,thebodycoach,0.09583987
formnutrition,thefitnesschef_,0.1131802
formnutrition,_jackfowler_,0.06505819
indisupplements,aaroncgshore,0.038452633
indisupplements,adamcollard,0.14675719
indisupplements,aliceliveing,0.14986375
indisupplements,brown.elle,0.025646392
indisupplements,charlottedawsy,0.112704895
indisupplements,chessieking,0.123869464
indisupplements,chloe.khan,0.040819585
indisupplements,courtneydblack,0.14268398
indisupplements,danosborneofficial,0.076093905
indisupplements,gabbydawnallen,0.12236738
indisupplements,ini.helen,0.019659454
indisupplements,itsalwayshana,0.0982334
indisupplements,jamesgshore,0.060903378
indisupplements,jamessmithpt,0.08116643
indisupplements,jesshunt2,0.03671749
indisupplements,jessica_rose_uk,0.040902454
indisupplements,jesswright77,0.057926737
indisupplements,katiepiper_,0.11238216
indisupplements,korisampson,0.051680475
indisupplements,lucymeck1,0.09478216
indisupplements,mac_griffiths_,0.066797175
indisupplements,mattdoesfitness,0.07200715
indisupplements,ohpolly,0.10737558
indisupplements,oliviadbowen,0.08488536
indisupplements,rogersnipes,0.1317783
indisupplements,slimmingworld,0.21878341
indisupplements,sylvijaa,0.03355091
indisupplements,thebodycoach,0.13123395
indisupplements,thefitnesschef_,0.21468082
indisupplements,_jackfowler_,0.061639074
medterra.international,aaroncgshore,0.031670008
medterra.international,adamcollard,0.084716305
medterra.international,aliceliveing,0.084649354
medterra.international,brown.elle,0.027581034
medterra.international,charlottedawsy,0.079998866
medterra.international,chessieking,0.07994398
medterra.international,chloe.khan,0.045306694
medterra.international,courtneydblack,0.070059925
medterra.international,danosborneofficial,0.061134025
medterra.international,gabbydawnallen,0.07774589
medterra.international,ini.helen,0.020313835
medterra.international,itsalwayshana,0.0771927
medterra.international,jamesgshore,0.048828952
medterra.international,jamessmithpt,0.039591126
medterra.international,jesshunt2,0.032725167
medterra.international,jessica_rose_uk,0.03328138
medterra.international,jesswright77,0.051190622
medterra.international,katiepiper_,0.090140104
medterra.international,korisampson,0.044207208
medterra.international,lucymeck1,0.0689307
medterra.international,mac_griffiths_,0.044453546
